OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.27216,-84.55599
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.82736,-85.72122
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.74885,-91.29352
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.52328,-71.747
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.5905,-76.06177
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,39.11663,-88.56968
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,39.11663,-88.56968
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,39.11663,-88.56968
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.11663,-88.56968
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.2784,-85.65614
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.2784,-85.65614
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,42.19792,-85.9704
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,42.19792,-85.9704
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.66659,-92.97577
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.33693,-94.38027
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.31328,-91.13705
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.49417,-94.31614
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.83331,-91.51777
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.69313,-93.25088
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,36.82101,-92.09731
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.93093,-88.54751
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666,33.39938,-91.05177
